,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22,21.25,22.24,23.27,24.2
164,25,34,53,79,117,158,206,253,320,358,417,466,521,570,621,673,715,752,786,817,834,856,873,884
165,23,34,54,80,117,157,206,256,318,358,417,465,518,570,620,672,715,756,787,817,838,855,876,885
166,24,34,53,79,115,158,207,254,317,360,417,465,519,569,621,674,715,753,788,816,837,858,874,885
167,24,35,53,79,116,159,207,253,318,359,418,464,520,569,622,675,713,753,789,814,837,858,872,883
168,24,34,54,79,117,158,206,253,319,358,418,466,519,572,623,672,714,752,790,814,835,857,873,883
169,24,36,53,80,116,158,205,254,319,359,418,466,520,571,621,671,713,751,788,816,836,857,874,883
170,25,35,53,79,114,159,206,256,318,359,416,465,519,570,621,673,716,753,786,816,837,855,875,884
171,23,35,54,79,114,158,207,254,317,359,418,465,518,569,622,673,715,753,788,817,838,856,874,885
172,23,34,53,79,115,158,206,254,319,360,419,464,521,569,623,675,713,753,787,815,837,858,873,884
173,23,34,53,79,117,158,206,256,319,358,417,466,521,571,623,673,714,753,788,815,835,857,872,882
174,25,34,53,79,116,158,207,254,318,359,417,467,520,572,620,673,715,751,788,816,835,858,873,883
175,23,36,54,80,115,158,207,254,317,359,417,466,519,570,621,673,715,753,787,816,836,856,873,884
176,25,34,53,79,115,158,205,253,318,360,418,465,519,570,622,675,715,753,789,817,837,855,876,885
177,24,36,53,80,116,158,206,253,319,359,419,465,520,569,623,674,713,754,787,816,837,857,875,885
178,25,35,53,80,115,158,207,255,318,359,417,467,521,571,623,672,713,753,789,814,836,857,874,884
179,23,34,53,81,115,157,206,254,318,359,418,467,519,572,622,672,714,752,789,815,836,857,873,883
180,25,34,53,79,115,159,206,253,318,359,418,465,520,569,621,673,715,753,788,816,836,856,873,884
181,23,36,54,79,115,158,206,255,319,358,419,464,519,569,622,673,716,753,787,816,837,855,874,884
182,25,33,52,79,115,158,208,255,318,358,416,466,520,570,622,674,715,753,787,816,838,856,875,883
183,23,36,54,80,116,158,205,254,317,359,416,467,521,570,622,674,713,753,788,815,837,858,872,885
184,25,35,53,79,117,158,206,253,317,360,417,466,518,572,622,672,713,752,790,815,836,859,873,883
185,24,35,53,79,116,158,207,254,319,360,419,464,518,570,621,673,714,752,787,816,835,857,874,883
186,25,35,53,79,116,158,207,254,319,359,418,465,519,570,622,673,716,753,786,817,836,855,874,884
187,23,36,54,81,116,158,207,254,318,359,417,467,520,571,623,673,714,754,788,817,837,855,875,885
188,23,34,53,78,117,159,205,253,318,359,416,467,522,571,622,674,713,752,788,816,838,857,874,883
189,23,34,54,81,116,158,206,255,319,360,419,465,518,571,623,673,715,753,790,815,837,857,873,884
190,24,35,53,79,115,158,208,254,319,359,418,466,518,571,620,673,714,752,787,816,836,857,872,882
191,24,33,53,80,117,157,206,255,318,358,417,466,519,569,621,672,716,753,787,817,835,856,873,884
192,25,36,53,79,117,157,206,253,318,359,416,466,520,568,623,674,716,754,787,817,837,855,875,885
193,24,36,54,79,116,159,206,255,318,360,418,466,520,570,623,675,713,753,788,815,837,857,875,884
194,23,35,53,78,117,158,208,254,319,360,419,465,519,571,622,672,713,752,789,813,837,857,874,883
195,23,34,54,81,115,157,205,254,319,359,418,465,518,569,621,672,715,752,788,816,836,857,873,882
196,23,34,53,81,115,159,205,254,319,358,417,465,518,569,622,673,715,753,788,818,836,856,873,884
197,24,34,54,78,116,159,206,255,318,360,417,467,520,569,623,674,715,753,787,816,837,855,873,883
198,25,34,53,79,115,158,207,256,319,361,417,467,520,570,623,674,713,753,786,816,838,855,874,885
199,24,34,54,80,116,158,206,254,319,358,418,465,520,571,621,673,713,752,788,815,837,857,874,884
